validTime,value
2023-11-20T15:00:00+00:00/PT1H,80
2023-11-20T16:00:00+00:00/PT2H,70
2023-11-20T18:00:00+00:00/PT1H,50
2023-11-20T19:00:00+00:00/PT2H,30
2023-11-20T21:00:00+00:00/PT2H,20
2023-11-20T23:00:00+00:00/PT3H,10
2023-11-21T02:00:00+00:00/PT3H,0
2023-11-21T05:00:00+00:00/PT2H,350
2023-11-21T07:00:00+00:00/PT2H,340
2023-11-21T09:00:00+00:00/PT2H,330
2023-11-21T11:00:00+00:00/PT20H,340
2023-11-22T07:00:00+00:00/PT1H,330
2023-11-22T08:00:00+00:00/PT1H,300
2023-11-22T09:00:00+00:00/PT1H,290
2023-11-22T10:00:00+00:00/PT1H,280
2023-11-22T11:00:00+00:00/PT2H,270
2023-11-22T13:00:00+00:00/PT1H,260
2023-11-22T14:00:00+00:00/PT1H,240
2023-11-22T15:00:00+00:00/PT2H,230
2023-11-22T17:00:00+00:00/PT3H,220
2023-11-22T20:00:00+00:00/PT3H,210
2023-11-22T23:00:00+00:00/PT3H,200
2023-11-23T02:00:00+00:00/PT2H,210
2023-11-23T04:00:00+00:00/PT1H,220
2023-11-23T05:00:00+00:00/PT1H,240
2023-11-23T06:00:00+00:00/PT1H,250
2023-11-23T07:00:00+00:00/PT1H,270
2023-11-23T08:00:00+00:00/PT1H,300
2023-11-23T09:00:00+00:00/PT1H,320
2023-11-23T10:00:00+00:00/PT1H,330
2023-11-23T11:00:00+00:00/PT1H,0
2023-11-23T12:00:00+00:00/PT1H,10
2023-11-23T13:00:00+00:00/PT1H,20
2023-11-23T14:00:00+00:00/PT6H,30
2023-11-23T20:00:00+00:00/PT12H,40
2023-11-24T08:00:00+00:00/PT15H,30
2023-11-24T23:00:00+00:00/PT6H,20
2023-11-25T05:00:00+00:00/PT11H,10
2023-11-25T16:00:00+00:00/PT1H,350
2023-11-25T17:00:00+00:00/PT1H,320
2023-11-25T18:00:00+00:00/PT4H,300
2023-11-25T22:00:00+00:00/PT1H,290
2023-11-25T23:00:00+00:00/PT1H,280
2023-11-26T00:00:00+00:00/PT5H,270
2023-11-26T05:00:00+00:00/PT1H,260
2023-11-26T06:00:00+00:00/PT2H,250
2023-11-26T08:00:00+00:00/PT3H,260
2023-11-26T11:00:00+00:00/PT6H,270
2023-11-26T17:00:00+00:00/PT3H,280
2023-11-26T20:00:00+00:00/PT3H,290
2023-11-26T23:00:00+00:00/PT6H,280
2023-11-27T05:00:00+00:00/PT3H,290
2023-11-27T08:00:00+00:00/PT3H,300
2023-11-27T11:00:00+00:00/PT6H,290
2023-11-27T17:00:00+00:00/PT3H,280
2023-11-27T20:00:00+00:00/PT1H,270
2023-11-27T21:00:00+00:00/PT2H,260
2023-11-27T23:00:00+00:00/PT1H,250
2023-11-28T00:00:00+00:00/PT1H,240
